M,H,Omega,OMLP,SMLP,K
4,4,-1.00,0.20,0.10,0.10
4,4,0.50,0.20,0.10,0.10
4,4,1.00,0.20,0.10,0.10
4,4,1.50,0.20,0.10,0.10
4,4,2.00,0.20,0.10,0.10
4,8,-1.00,0.21,0.05,0.05
4,8,0.50,0.21,0.05,0.05
4,8,1.00,0.21,0.05,0.05
4,8,1.50,0.21,0.05,0.05
4,8,2.00,0.21,0.05,0.05
4,16,-1.00,0.22,0.05,0.05
4,16,0.50,0.22,0.05,0.05
4,16,1.00,0.22,0.05,0.05
4,16,1.50,0.22,0.05,0.05
4,16,2.00,0.22,0.05,0.05
4,32,-1.00,0.27,0.05,0.00
4,32,0.50,0.27,0.05,0.00
4,32,1.00,0.27,0.05,0.00
4,32,1.50,0.27,0.05,0.00
4,32,2.00,0.27,0.05,0.00
4,64,-1.00,0.10,0.00,0.00
4,64,0.50,0.10,0.00,0.00
4,64,1.00,0.10,0.00,0.00
4,64,1.50,0.10,0.00,0.00
4,64,2.00,0.10,0.00,0.00
8,4,-1.00,0.66,0.40,0.00
8,4,0.50,0.40,0.35,0.00
8,4,1.00,0.66,0.40,0.00
8,4,1.50,0.66,0.40,0.00
8,4,2.00,0.66,0.40,0.00
8,8,-1.00,0.52,0.15,0.25
8,8,0.50,0.41,0.15,0.25
8,8,1.00,0.52,0.15,0.25
8,8,1.50,0.52,0.15,0.25
8,8,2.00,0.52,0.15,0.25
8,16,-1.00,0.43,0.05,0.10
8,16,0.50,0.43,0.05,0.10
8,16,1.00,0.43,0.05,0.10
8,16,1.50,0.43,0.05,0.10
8,16,2.00,0.43,0.05,0.10
8,32,-1.00,0.32,0.05,0.00
8,32,0.50,0.32,0.05,0.00
8,32,1.00,0.32,0.05,0.00
8,32,1.50,0.32,0.05,0.00
8,32,2.00,0.32,0.05,0.00
8,64,-1.00,0.10,0.00,0.00
8,64,0.50,0.10,0.00,0.00
8,64,1.00,0.50,0.00,0.00
8,64,1.50,0.50,0.00,0.00
8,64,2.00,0.50,0.00,0.00
16,4,-1.00,1.52,1.20,0.00
16,4,0.50,1.45,1.25,0.00
16,4,1.00,1.56,1.11,0.00
16,4,1.50,1.55,1.20,0.00
16,4,2.00,1.52,1.20,0.00
16,8,-1.00,1.09,0.55,0.77
16,8,0.50,1.16,0.35,0.81
16,8,1.00,1.10,0.55,0.77
16,8,1.50,1.09,0.55,0.77
16,8,2.00,1.09,0.55,0.77
16,16,-1.00,0.87,0.25,0.36
16,16,0.50,0.88,0.25,0.36
16,16,1.00,0.87,0.25,0.36
16,16,1.50,0.87,0.25,0.36
16,16,2.00,0.87,0.25,0.36
16,32,-1.00,0.69,0.10,0.15
16,32,0.50,0.48,0.10,0.15
16,32,1.00,0.69,0.10,0.15
16,32,1.50,0.69,0.10,0.15
16,32,2.00,0.69,0.10,0.15
16,64,-1.00,6.66,0.00,0.00
16,64,0.50,0.26,0.00,0.00
16,64,1.00,0.66,0.00,0.00
16,64,1.50,0.66,0.00,0.00
16,64,2.00,0.66,0.00,0.00
